Spring Symphony,1983,6.1,"['Biography', 'Music']",German,"Nastassja Kinski, Herbert Grnemeyer, Rolf Hoppe",Peter Schamoni
Thoongathey Tambi Thoongathey,1983,6.5,['Drama'],Tamil,"Kamal Haasan, Radha, Goundamani",SP Muthuraman
Kirot,1983,4.0,"['Drama', 'Romance']","Filipino, English, Tagalog","Stella Strada, Dennis Roldan, Edgar Mande",Arsenio Bautista
Cannonball Run II,1984,5.1,"['Car Action', 'Road Trip', 'Action', 'Comedy']",English,"Burt Reynolds, Dom DeLuise, Dean Martin","Hal Needham, Ralph Bakshi"
The NeverEnding Story,1984,7.3,"['Adventure Epic', 'Fantasy Epic', 'Quest', 'Sword  Sorcery', 'Adventure', 'Drama', 'Family', 'Fantasy']",English,"Noah Hathaway, Barret Oliver, Tami Stronach",Wolfgang Petersen
Breakin' 2: Electric Boogaloo,1984,5.2,"['Pop Musical', 'Comedy', 'Drama', 'Musical']","English, Spanish","Lucinda Dickey, Adolfo Quinones, Michael Chambers",Sam Firstenberg
Birdy,1984,7.2,"['Drama', 'War']",English,"Matthew Modine, Nicolas Cage, John Harkins",Alan Parker
Petit Con,1984,6.0,['Comedy'],French,"Guy Marchand, Caroline Cellier, Bernard Brieux",Grard Lauzier
Winter Flight,1984,7.3,"['Drama', 'Romance']",English,"Reece Dinsdale, Nicola Cowper, Gary Olsen",Roy Battersby
The Dog Who Stopped the War,1984,7.5,"['Comedy', 'Drama', 'Family']",French,"Cdric Jourde, MariePierre A DAmour, Julien Elie",Andr Melanon
Double Trouble,1984,7.1,"['Buddy Comedy', 'Action', 'Comedy']","Italian, English, Portuguese","Terence Hill, Bud Spencer, April Clough",Enzo Barboni
Sword of the Valiant,1984,4.4,"['Swashbuckler', 'Sword  Sorcery', 'Action', 'Adventure', 'Fantasy', 'Romance']",English,"Miles OKeeffe, Cyrielle Clair, Leigh Lawson",Stephen Weeks
Hell Behind the Bars,1984,3.8,"['Action', 'Crime', 'Drama', 'Thriller']","English, Italian","Ajita Wilson, Rita Silva, Linda Jones",Gianni Siragusa
Rats: Night of Terror,1984,4.7,"['BHorror', 'Horror', 'SciFi']",Italian,"Ottaviano DellAcqua, Geretta Geretta, Massimo Vanni","Bruno Mattei, Claudio Fragasso"
Maybe It's Love,1984,5.5,"['Drama', 'Mystery']",Cantonese,"Cherie Chung, Kent Tong, ChunHao Chen",Angela Chan
Elite Devassa,1984,5.0,['Drama'],Portuguese,"Selma Egrei, Edson Frana, Thales Pan Chacon",Luiz Castellini
Pati Patni Aur Woh,2019,5.8,"['Comedy', 'Romance']",Hindi,"Kartik Aaryan, Bhumi Pednekar, Ananya Panday",Mudassar Aziz
The Reliant,2019,3.3,['Action'],English,"Kevin Sorbo, Julia Denton, Mollee Gray",Paul Munger
The Informer,2019,6.6,"['Police Procedural', 'Prison Drama', 'Spy', 'Action', 'Crime', 'Drama', 'Thriller']","English, Polish, Spanish","Joel Kinnaman, Rosamund Pike, Common",Andrea Di Stefano
Mister America,2019,6.4,['Comedy'],English,"Tim Heidecker, Gregg Turkington, Terri Parks",Eric Notarnicola
Intuitions,2019,3.7,"['Romance', 'Thriller']","English, Spanish","Ren Mena, Mike Manning, Vannessa Vasquez",James Helsing
Kill Bill: Vol. 2,2004,8.0,"['Kung Fu', 'Martial Arts', 'OnePerson Army Action', 'Action', 'Crime', 'Thriller']","English, Cantonese, Mandarin, Spanish","Uma Thurman, David Carradine, Michael Madsen",Quentin Tarantino
Kung Fu Hustle,2004,7.7,"['Kung Fu', 'Martial Arts', 'Parody', 'Slapstick', 'Wuxia', 'Action', 'Comedy', 'Fantasy']","Mandarin, Cantonese","Stephen Chow, Wah Yuen, Qiu Yuen",Stephen Chow
Envy,2004,4.8,"['Buddy Comedy', 'Dark Comedy', 'Comedy']","English, Italian","Ben Stiller, Jack Black, Rachel Weisz",Barry Levinson
Touch of Pink,2004,6.4,"['Comedy', 'Drama', 'Romance']",English,"Jimi Mistry, Kris HoldenRied, Suleka Mathew",Ian Iqbal Rashid
Kings & Queen,2004,7.0,"['Comedy', 'Drama', 'Romance']","French, English, German","Emmanuelle Devos, Geoffrey Carey, Thierry Bosc",Arnaud Desplechin
Rolling Family,2004,6.6,"['Comedy', 'Drama']",Spanish,"Graciana Chironi, Adelina Bielopolsky, Ludmila Stancer",Pablo Trapero
The Ister,2004,7.1,['Documentary'],"French, German, Romanian, English","Philippe LacoueLabarthe, JeanLuc Nancy, Bernard Stiegler","David Barison, Daniel Ross"
Producing Adults,2004,6.1,"['Comedy', 'Drama']",Finnish,"Minna Haapkyl, KariPekka Toivonen, Minttu Mustakallio",Aleksi Salmenper
King's Game,2004,7.3,"['Political Thriller', 'Drama', 'Thriller']",Danish,"Anders W Berthelsen, Sren Pilmark, Nastja Arcel",Nikolaj Arcel
Madame,1961,6.0,"['Comedy', 'Drama', 'Romance', 'War']","French, Italian","Sophia Loren, Robert Hossein, Renaud Mary",ChristianJaque
A Cold Wind in August,1961,6.6,['Drama'],"Italian, English","Lola Albright, Scott Marlowe, Joe De Santis",Alexander Singer
Pagan Island,1961,4.5,"['Action', 'Adventure']",English,"Eddie Dew, Nani Maka, Trine Hovelsrud",Barry Mahon
Queen of the Seas,1961,5.5,"['Action', 'Adventure', 'Drama', 'Romance']",Italian,"Lisa Gastoni, Jerome Courtland, Walter Barnes",Umberto Lenzi
The Canadians,1961,5.4,['Western'],English,"Robert Ryan, John Dehner, Torin Thatcher",Burt Kennedy
Suicídate mi amor,1961,7.0,"['Comedy', 'Drama']",Spanish,"Germn Valds, Tere Velzquez, Marina Camacho",Gilberto Martnez Solares
The Corsican Brothers,1961,5.5,['Action'],"Italian, French","Geoffrey Horne, Valrie Lagrange, Grard Barray",Anton Giulio Majano
I Now Pronounce You Chuck & Larry,2007,5.9,"['Comedy', 'Romance']",English,"Adam Sandler, Kevin James, Jessica Biel",Dennis Dugan
Because I Said So,2007,5.6,"['Romantic Comedy', 'Comedy', 'Romance']","English, Mandarin, Italian","Diane Keaton, Mandy Moore, Gabriel Macht",Michael Lehmann
28 Weeks Later,2007,6.9,"['Zombie Horror', 'Horror', 'SciFi']",English,"Jeremy Renner, Rose Byrne, Robert Carlyle",Juan Carlos Fresnadillo
Daddy Day Camp,2007,3.2,"['Slapstick', 'Comedy', 'Family']",English,"Cuba Gooding Jr, Lochlyn Munro, Richard Gant",Fred Savage
Nobel Son,2007,6.1,"['Caper', 'Dark Comedy', 'Comedy', 'Crime', 'Drama', 'Thriller']",English,"Alan Rickman, Bryan Greenberg, Shawn Hatosy",Randall Miller
My Winnipeg,2007,7.5,"['Dark Comedy', 'Comedy', 'Documentary', 'Drama', 'Fantasy', 'History']",English,"Darcy Fehr, Ann Savage, Louis Negin",Guy Maddin
Cover,2007,5.3,"['Crime', 'Drama', 'Thriller']",English,"Aunjanue EllisTaylor, Razaaq Adoti, Vivica A Fox",Bill Duke
Fear(s) of the Dark,2007,6.6,"['Adult Animation', 'Supernatural Horror', 'Animation', 'Horror', 'Mystery']",French,"Aure Atika, Guillaume Depardieu, Nicole Garcia","Blutch, Charles Burns, Marie Caillou"
Mother of Tears,2007,5.0,"['Supernatural Horror', 'Witch Horror', 'Drama', 'Horror', 'Thriller']","Italian, Japanese, Hungarian, English","Asia Argento, Cristian Solimeno, Adam James",Dario Argento
YPF,2007,6.2,"['Comedy', 'Drama', 'Romance']",English,"Aaron Abrams, Carly Pope, Kristin Booth",Martin Gero
Bronco Billy,1980,6.2,"['Contemporary Western', 'Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Western']",English,"Clint Eastwood, Sondra Locke, Geoffrey Lewis",Clint Eastwood
The Gong Show Movie,1980,4.4,"['Dark Comedy', 'Comedy']",English,"Chuck Barris, Robin Altman, Brian OMullin",Chuck Barris
The King and the Mockingbird,1980,7.7,"['Animation', 'Family', 'Fantasy', 'Romance']",French,"Jean Martin, Pascal Mazzotti, Raymond Bussires",Paul Grimault
The Amorous Sisters,1982,4.9,['Comedy'],German,"Brigitte Lahaie, Flore Sollier, Jane Baker",Erwin C Dietrich
Nightkill,1980,5.5,"['Crime', 'Horror', 'Mystery', 'Thriller']",English,"Robert Mitchum, Jaclyn Smith, Mike Connors",Ted Post
Zübük,1980,8.5,['Comedy'],Turkish,"Kemal Sunal, Nevra Serezli, Metin Serezli",Kartal Tibet
Confidence,1980,7.5,['Drama'],"Hungarian, German","Ildik Bnsgi, Pter Andorai, Oszkrn Gombik",Istvn Szab
Girls,1980,5.2,['Drama'],French,"Anne Parillaud, Zo Chauveau, Charlotte Walior",Just Jaeckin
Quello strano desiderio,1980,4.6,"['Comedy', 'SciFi']",Italian,"Nico Salatino, Gianni Ciardo, Vanni Materassi",Enzo Milioni
Challengers,2024,7.1,"['Psychological Drama', 'Steamy Romance', 'Comedy', 'Drama', 'Romance', 'Sport']","English, Romanian","Mike Faist, Josh OConnor, Zendaya",Luca Guadagnino
